Sex,Length,L,M,S,P3,P5,P10,P25,P50,P75,P90,P95,P97
1,45,-0.3521,2.441,0.09182,2.043085,2.106981,2.175173,2.295939,2.441,2.598735,2.752713,2.850807,2.951324
1,45.5,-0.3521,2.5244,0.09153,2.114041,2.179956,2.250293,2.374837,2.5244,2.686987,2.84566,2.946724,3.050268
1,46,-0.3521,2.6077,0.09124,2.18499,2.252911,2.325378,2.453671,2.6077,2.775097,2.938422,3.042427,3.148968
1,46.5,-0.3521,2.6913,0.09094,2.25631,2.326226,2.400814,2.532835,2.6913,2.863471,3.031408,3.138329,3.247837
1,47,-0.3521,2.7755,0.09065,2.32817,2.400092,2.47681,2.612577,2.7755,2.952467,3.125038,3.234886,3.347375
1,47.5,-0.3521,2.8609,0.09036,2.401115,2.475063,2.553931,2.69348,2.8609,3.042704,3.219945,3.332742,3.448234
1,48,-0.3521,2.948,0.09007,2.475566,2.551572,2.632625,2.776015,2.948,3.134712,3.316691,3.43248,3.551015
1,48.5,-0.3521,3.0377,0.08977,2.552331,2.630444,2.713732,2.861048,3.0377,3.229426,3.41624,3.53508,3.65672
1,49,-0.3521,3.1308,0.08948,2.631991,2.712292,2.797902,2.949299,3.1308,3.327737,3.519578,3.641592,3.76646
1,49.5,-0.3521,3.2276,0.08919,2.71485,2.79742,2.88544,3.04107,3.2276,3.42994,3.626994,3.752297,3.880511
1,50,-0.3521,3.3278,0.0889,2.80066,2.885574,2.976081,3.13608,3.3278,3.535715,3.738145,3.86684,3.998505
1,50.5,-0.3521,3.4311,0.08861,2.889173,2.976497,3.06956,3.234048,3.4311,3.644741,3.852691,3.984869,4.120075
1,51,-0.3521,3.5376,0.08831,2.980535,3.070327,3.166008,3.335092,3.5376,3.757096,3.970687,4.106421,4.245244
1,51.5,-0.3521,3.6477,0.08801,3.075034,3.167371,3.26575,3.439571,3.6477,3.873226,4.092626,4.232023,4.374568
1,52,-0.3521,3.762,0.08771,3.173182,3.268154,3.369328,3.548053,3.762,3.993768,4.219179,4.362364,4.50876
1,52.5,-0.3521,3.8814,0.08741,3.275745,3.373464,3.477551,3.661388,3.8814,4.119672,4.351347,4.49848,4.648887
1,53,-0.3521,4.006,0.08711,3.382814,3.483394,3.590514,3.779675,4.006,4.251043,4.489236,4.640477,4.795059
1,53.5,-0.3521,4.1354,0.08681,3.494059,3.597603,3.707865,3.902538,4.1354,4.387451,4.632391,4.787883,4.946784
1,54,-0.3521,4.2693,0.08651,3.609233,3.715835,3.829338,4.029697,4.2693,4.528577,4.78047,4.940342,5.103693
1,54.5,-0.3521,4.4066,0.08621,3.727413,3.837139,3.953952,4.160116,4.4066,4.67325,4.932235,5.096575,5.264463
1,55,-0.3521,4.5467,0.08592,3.848024,3.960933,4.081121,4.293202,4.5467,4.820865,5.08708,5.255972,5.428484
1,55.5,-0.3521,4.6892,0.08563,3.970797,4.086931,4.210535,4.428606,4.6892,4.970965,5.244488,5.417981,5.595166
1,56,-0.3521,4.8338,0.08535,4.095407,4.214808,4.341875,4.566015,4.8338,5.123266,5.404194,5.582349,5.764267
1,56.5,-0.3521,4.9796,0.08507,4.221164,4.343844,4.474383,4.704609,4.9796,5.276779,5.565121,5.747942,5.934596
1,57,-0.3521,5.1259,0.08481,4.347314,4.473289,4.607318,4.843662,5.1259,5.430838,5.726639,5.914155,6.105576
1,57.5,-0.3521,5.2721,0.08455,4.473502,4.602751,4.740248,4.982669,5.2721,5.584736,5.887933,6.080102,6.276246
1,58,-0.3521,5.418,0.0843,4.599472,4.731982,4.872933,5.121406,5.418,5.738301,6.048861,6.245662,6.446507
1,58.5,-0.3521,5.5632,0.08406,4.724876,4.860627,5.005008,5.259492,5.5632,5.891111,6.208982,6.410382,6.615894
1,59,-0.3521,5.7074,0.08383,4.849452,4.988415,5.136198,5.39664,5.7074,6.042854,6.36797,6.573927,6.784063
1,59.5,-0.3521,5.8501,0.08362,4.972673,5.114823,5.265982,5.532339,5.8501,6.193047,6.52536,6.735847,6.950579
1,60,-0.3521,5.9907,0.08342,5.09411,5.239396,5.393876,5.666051,5.9907,6.341016,6.68041,6.89535,7.114604
1,60.5,-0.3521,6.1284,0.08324,5.212973,5.36134,5.519084,5.796979,6.1284,6.485965,6.832326,7.05165,7.275354
1,61,-0.3521,6.2632,0.08308,5.329248,5.480644,5.641597,5.925116,6.2632,6.6279,6.981122,7.204766,7.432856
1,61.5,-0.3521,6.3954,0.08292,5.44338,5.597732,5.761815,6.05082,6.3954,6.767053,7.126957,7.354806,7.587165
1,62,-0.3521,6.5251,0.08279,5.555138,5.71242,5.87961,6.174063,6.5251,6.903673,7.270234,7.502278,7.738897
1,62.5,-0.3521,6.6527,0.08266,5.665162,5.825317,5.99555,6.29534,6.6527,7.038046,7.411123,7.647269,7.888055
1,63,-0.3521,6.7786,0.08255,5.773573,5.936584,6.109844,6.414944,6.7786,7.170696,7.55027,7.79051,8.035457
1,63.5,-0.3521,6.9028,0.08245,5.88047,6.046305,6.22256,6.532913,6.9028,7.301578,7.687586,7.931881,8.180948
1,64,-0.3521,7.0255,0.08236,5.986016,6.15465,6.333872,6.649434,7.0255,7.430906,7.823298,8.071618,8.324777
1,64.5,-0.3521,7.1467,0.08229,6.090089,6.261515,6.443698,6.764459,7.1467,7.558736,7.95752,8.209873,8.467133
1,65,-0.3521,7.2666,0.08223,6.192965,6.367164,6.55229,6.87822,7.2666,7.685232,8.090377,8.346744,8.608089
1,65.5,-0.3521,7.3854,0.08218,6.294807,6.471767,6.659823,6.990901,7.3854,7.810607,8.222098,8.482471,8.747892
1,66,-0.3521,7.5034,0.08215,6.395745,6.57548,6.766481,7.102739,7.5034,7.935237,8.353132,8.617553,8.887095
1,66.5,-0.3521,7.6206,0.08213,6.49589,6.678396,6.872341,7.213776,7.6206,8.059071,8.483379,8.751853,9.025525
1,67,-0.3521,7.737,0.08212,6.595235,6.78051,6.977398,7.324011,7.737,8.182112,8.612843,8.885379,9.16319
1,67.5,-0.3521,7.8526,0.08212,6.693776,6.881819,7.081648,7.43344,7.8526,8.304363,8.741529,9.018137,9.300099
1,68,-0.3521,7.9674,0.08214,6.791378,6.982208,7.185,7.542013,7.9674,8.425883,8.869561,9.150293,9.436461
1,68.5,-0.3521,8.0816,0.08216,6.888461,7.082064,7.287805,7.650014,8.0816,8.546773,8.996931,9.281768,9.572124
1,69,-0.3521,8.1955,0.08219,6.985149,7.181539,7.390244,7.757678,8.1955,8.667407,9.124096,9.413071,9.707649
1,69.5,-0.3521,8.3092,0.08224,7.081388,7.2806,7.492309,7.865043,8.3092,8.787957,9.251294,9.544487,9.843373
1,70,-0.3521,8.4227,0.08229,7.177438,7.379471,7.594181,7.972213,8.4227,8.908303,9.378287,9.675696,9.978888
1,70.5,-0.3521,8.5358,0.08235,7.272991,7.477858,7.695586,8.078943,8.5358,9.028296,9.504978,9.806637,10.11417
1,71,-0.3521,8.648,0.08241,7.367757,7.575438,7.796163,8.184813,8.648,9.147347,9.630686,9.936572,10.24843
1,71.5,-0.3521,8.7594,0.08248,7.461678,7.672178,7.895907,8.289862,8.7594,9.265626,9.755654,10.06579,10.38198
1,72,-0.3521,8.8697,0.08254,7.55478,7.768056,7.994741,8.393916,8.8697,9.382688,9.879288,10.19359,10.51406
1,72.5,-0.3521,8.9788,0.08262,7.646549,7.862618,8.092279,8.496715,8.9788,9.49862,10.00187,10.3204,10.64519
1,73,-0.3521,9.0865,0.08269,7.737245,7.956055,8.188637,8.598234,9.0865,9.613018,10.12279,10.44546,10.77448
1,73.5,-0.3521,9.1927,0.08276,7.82664,8.048159,8.283627,8.698324,9.1927,9.725841,10.24205,10.56882,10.90203
1,74,-0.3521,9.2974,0.08283,7.914735,8.138929,8.377249,8.796986,9.2974,9.837087,10.35967,10.69049,11.02784
1,74.5,-0.3521,9.401,0.08289,8.00202,8.228845,8.469968,8.894657,9.401,9.947111,10.47594,10.81073,11.15214
1,75,-0.3521,9.5032,0.08295,8.088095,8.317519,8.561412,8.990996,9.5032,10.05566,10.59067,10.92939,11.27481
1,75.5,-0.3521,9.6041,0.08301,8.173043,8.405039,8.651671,9.086097,9.6041,10.16285,10.70398,11.04658,11.39598
1,76,-0.3521,9.7033,0.08307,8.256526,8.491054,8.740385,9.179582,9.7033,10.26824,10.8154,11.16183,11.51515
1,76.5,-0.3521,9.8007,0.08311,8.338773,8.575747,8.827684,9.27148,9.8007,10.3716,10.92455,11.27465,11.63173
1,77,-0.3521,9.8963,0.08314,8.419636,8.658991,8.913462,9.361732,9.8963,10.47298,11.03155,11.38522,11.74594
1,77.5,-0.3521,9.9902,0.08317,8.499043,8.740739,8.997703,9.450372,9.9902,10.57257,11.13666,11.49384,11.85814
1,78,-0.3521,10.0827,0.08318,8.577574,8.821532,9.080901,9.537811,10.0827,10.67054,11.23993,11.60047,11.96819
1,78.5,-0.3521,10.1741,0.08318,8.65533,8.9015,9.16322,9.624271,10.1741,10.76727,11.34182,11.70563,12.07668
1,79,-0.3521,10.2649,0.08316,8.732905,8.981224,9.245227,9.710293,10.2649,10.86321,11.44274,11.80969,12.18395
1,79.5,-0.3521,10.3558,0.08313,8.810738,9.061183,9.327443,9.796476,10.3558,10.95919,11.54361,11.91365,12.29106
1,80,-0.3521,10.4475,0.08308,8.889597,9.142137,9.410618,9.88355,10.4475,11.05585,11.64505,12.0181,12.39858
1,80.5,-0.3521,10.5405,0.08301,8.969915,9.22453,9.495209,9.971992,10.5405,11.15373,11.74761,12.12362,12.50708
1,81,-0.3521,10.6352,0.08293,9.051873,9.308575,9.581465,10.06212,10.6352,11.25332,11.8519,12.23085,12.61731
1,81.5,-0.3521,10.7322,0.08284,9.135985,9.394803,9.669929,10.15449,10.7322,11.35525,11.95856,12.34049,12.72995
1,82,-0.3521,10.8321,0.08273,9.222944,9.483891,9.761267,10.24976,10.8321,11.46008,12.06811,12.45299,12.84545
1,82.5,-0.3521,10.935,0.0826,9.312846,9.575937,9.855578,10.34802,10.935,11.56791,12.18064,12.56846,12.96389
1,83,-0.3521,11.0415,0.08246,9.406036,9.671326,9.953286,10.44977,11.0415,11.67945,12.29698,12.6878,13.08626
1,83.5,-0.3521,11.1516,0.08231,9.502522,9.770064,10.0544,10.55502,11.1516,11.7947,12.41712,12.811,13.21254
1,84,-0.3521,11.2651,0.08215,9.602142,9.871983,10.15874,10.66357,11.2651,11.91343,12.54083,12.93781,13.34249
1,84.5,-0.3521,11.3817,0.08198,9.704648,9.976826,10.26604,10.77516,11.3817,12.03533,12.66777,13.06789,13.47573
1,85,-0.3521,11.5007,0.08181,9.809266,10.08383,10.37556,10.88904,11.5007,12.15975,12.79732,13.20064,13.61171
1,85.5,-0.3521,11.6218,0.08163,9.915931,10.19289,10.48714,11.00501,11.6218,12.28626,12.92898,13.3355,13.74978
1,86,-0.3521,11.7444,0.08145,10.02395,10.30333,10.60013,11.12243,11.7444,12.41434,13.06224,13.47199,13.88953
1,86.5,-0.3521,11.8678,0.08128,10.13253,10.41437,10.71376,11.24056,11.8678,12.54331,13.1965,13.60955,14.0304
1,87,-0.3521,11.9916,0.08111,10.24152,10.52582,10.8278,11.3591,11.9916,12.67267,13.33114,13.74748,14.17165
1,87.5,-0.3521,12.1152,0.08096,10.35002,10.63682,10.94143,11.47732,12.1152,12.80197,13.46586,13.88559,14.31317
1,88,-0.3521,12.2382,0.08082,10.45787,10.74717,11.05443,11.59491,12.2382,12.9307,13.60004,14.02317,14.45419
1,88.5,-0.3521,12.3603,0.08069,10.5648,10.85661,11.16651,11.7116,12.3603,13.05854,13.73336,14.1599,14.59437
1,89,-0.3521,12.4815,0.08058,10.67062,10.96496,11.27754,11.8273,12.4815,13.18559,13.86599,14.29604,14.73404
1,89.5,-0.3521,12.6017,0.08048,10.77542,11.0723,11.38755,11.94199,12.6017,13.31166,13.99766,14.43122,14.87278
1,90,-0.3521,12.7209,0.08041,10.87879,11.17826,11.49627,12.05551,12.7209,13.43693,14.12875,14.56597,15.01124
1,90.5,-0.3521,12.8392,0.08034,10.98141,11.28346,11.60418,12.16819,12.8392,13.56123,14.25882,14.69965,15.14859
1,91,-0.3521,12.9569,0.0803,11.08292,11.38761,11.71114,12.28006,12.9569,13.68517,14.38877,14.83338,15.28616
1,91.5,-0.3521,13.0742,0.08026,11.1841,11.49143,11.81775,12.39156,13.0742,13.80869,14.51826,14.96664,15.42324
1,92,-0.3521,13.191,0.08025,11.28423,11.59427,11.92347,12.50235,13.191,13.93195,14.64776,15.10008,15.5607
1,92.5,-0.3521,13.3075,0.08025,11.38389,11.69667,12.02877,12.61276,13.3075,14.055,14.77713,15.23344,15.69813
1,93,-0.3521,13.4239,0.08026,11.48324,11.79879,12.13384,12.723,13.4239,14.17803,14.90658,15.36695,15.83577
1,93.5,-0.3521,13.5404,0.08029,11.58224,11.90063,12.23869,12.83317,13.5404,14.30137,15.03655,15.50112,15.97422
1,94,-0.3521,13.6572,0.08034,11.68105,12.00234,12.3435,12.94344,13.6572,14.42523,15.16726,15.63618,16.11372
1,94.5,-0.3521,13.7746,0.0804,11.78012,12.10437,12.44868,13.05418,13.7746,14.54984,15.29886,15.77223,16.25431
1,95,-0.3521,13.8928,0.08047,11.87963,12.2069,12.55442,13.16559,13.8928,14.67539,15.43158,15.90949,16.39622
1,95.5,-0.3521,14.012,0.08056,11.97952,12.30989,12.66072,13.27776,14.012,14.80223,15.56585,16.04848,16.54005
1,96,-0.3521,14.1325,0.08067,12.08003,12.41361,12.76787,13.39097,14.1325,14.93065,15.70201,16.18957,16.68618
1,96.5,-0.3521,14.2544,0.08078,12.18169,12.51852,12.87624,13.50549,14.2544,15.06057,15.83976,16.33231,16.83404
1,97,-0.3521,14.3782,0.08092,12.28423,12.62446,12.98583,13.62153,14.3782,15.19284,15.9803,16.47814,16.98528
1,97.5,-0.3521,14.5038,0.08106,12.38826,12.73194,13.097,13.73924,14.5038,15.32703,16.1229,16.6261,17.13875
1,98,-0.3521,14.6316,0.08122,12.49363,12.8409,13.20979,13.85884,14.6316,15.46379,16.26843,16.77723,17.29563
1,98.5,-0.3521,14.7614,0.08139,12.60041,12.95136,13.32417,13.98021,14.7614,15.60279,16.41646,16.93104,17.45536
1,99,-0.3521,14.8934,0.08157,12.70876,13.06348,13.44033,14.10354,14.8934,15.74427,16.56723,17.08775,17.61818
1,99.5,-0.3521,15.0275,0.08177,12.81834,13.17696,13.55799,14.22865,15.0275,15.88821,16.72085,17.24756,17.78436
1,100,-0.3521,15.1637,0.08198,12.92938,13.292,13.67733,14.35561,15.1637,16.03453,16.87711,17.41019,17.95354
1,100.5,-0.3521,15.3018,0.0822,13.04171,13.40842,13.79814,14.48425,15.3018,16.18301,17.03581,17.57543,18.12551
1,101,-0.3521,15.4419,0.08243,13.1554,13.5263,13.92051,14.61464,15.4419,16.33376,17.19705,17.74339,18.3004
1,101.5,-0.3521,15.5838,0.08267,13.27026,13.64546,14.04427,14.74659,15.5838,16.48658,17.36062,17.91387,18.47798
1,102,-0.3521,15.7276,0.08292,13.38639,13.76597,14.16948,14.88021,15.7276,16.64157,17.52665,18.08698,18.65839
1,102.5,-0.3521,15.8732,0.08317,13.50393,13.88796,14.29624,15.01548,15.8732,16.79852,17.69479,18.26231,18.84113
1,103,-0.3521,16.0206,0.08343,13.62264,14.01121,14.42437,15.15231,16.0206,16.95755,17.86529,18.44018,19.0266
1,103.5,-0.3521,16.1697,0.0837,13.74241,14.13562,14.55376,15.2906,16.1697,17.11855,18.03804,18.62048,19.2147
1,104,-0.3521,16.3204,0.08397,13.86342,14.26132,14.6845,15.43035,16.3204,17.2813,18.21271,18.8028,19.40491
1,104.5,-0.3521,16.4728,0.08425,13.98548,14.38817,14.8165,15.57155,16.4728,17.44604,18.38963,18.98757,19.59777
1,105,-0.3521,16.6268,0.08453,14.10877,14.51631,14.94985,15.71422,16.6268,17.61253,18.56848,19.17436,19.79277
1,105.5,-0.3521,16.7826,0.08481,14.23345,14.6459,15.08472,15.85853,16.7826,17.78099,18.74947,19.36341,19.99014
1,106,-0.3521,16.9401,0.0851,14.35916,14.77663,15.22084,16.00429,16.9401,17.95145,18.93274,19.55494,20.19019
1,106.5,-0.3521,17.0995,0.08539,14.48635,14.90889,15.35856,16.15179,17.0995,18.12398,19.11828,19.74885,20.39275
1,107,-0.3521,17.2607,0.08568,14.61492,15.0426,15.4978,16.30093,17.2607,18.29849,19.30597,19.94503,20.5977
1,107.5,-0.3521,17.4237,0.08599,14.74431,15.17728,15.63817,16.45149,17.4237,18.47523,19.49634,20.14419,20.80594
1,108,-0.3521,17.5885,0.08629,14.87535,15.31363,15.78024,16.60381,17.5885,18.65383,19.68862,20.34528,21.01615
1,108.5,-0.3521,17.7553,0.0866,15.00765,15.45136,15.92381,16.75783,17.7553,18.83476,19.88356,20.54925,21.22947
1,109,-0.3521,17.9242,0.08691,15.14156,15.59077,16.06914,16.91378,17.9242,19.01798,20.081,20.75587,21.44557
1,109.5,-0.3521,18.0954,0.08723,15.27697,15.7318,16.21622,17.07172,18.0954,19.20386,20.28146,20.96574,21.66518
